Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,06,Health,121.09522911844475,2009-07-01,87.07062396811416,All Rwanda
0,0,07,Transport,772.5927231856721,2009-07-01,85.65566789441282,All Rwanda
0,0,08,Communication,238.1321768462081,2009-07-01,108.01520133139297,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-07-01,96.74451059569138,All Rwanda
0,0,10,Education,200.9885867838568,2009-07-01,61.17338677544654,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-07-01,84.11412268315527,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-07-01,86.82637517846977,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-08-01,82.49249454987554,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-08-01,78.96481228554363,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-08-01,84.23533580340518,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-08-01,81.46185201592647,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-08-01,67.02118833391367,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-08-01,79.50623815322625,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-08-01,87.51626321529226,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-08-01,85.49255565015781,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-08-01,82.79522630562028,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-08-01,90.65160868813715,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-08-01,94.89620999109692,All Rwanda
0,0,06,Health,121.09522911844475,2009-08-01,87.38357753406468,All Rwanda
0,0,07,Transport,772.5927231856721,2009-08-01,87.03852701326329,All Rwanda
0,0,08,Communication,238.1321768462081,2009-08-01,110.25295334046336,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-08-01,96.23186689528139,All Rwanda
0,0,10,Education,200.9885867838568,2009-08-01,61.1716466863018,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-08-01,84.20012960771061,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-08-01,87.66727796072095,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-09-01,84.06527375375761,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-09-01,81.15428594624322,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-09-01,84.522031958052,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-09-01,82.12153998127468,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-09-01,69.97702164305996,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-09-01,82.4122243003501,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-09-01,87.41008081231531,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-09-01,84.08664385751356,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-09-01,83.66301500759162,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-09-01,92.43739322888585,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-09-01,94.82262008179381,All Rwanda
0,0,06,Health,121.09522911844475,2009-09-01,87.08057155967803,All Rwanda
0,0,07,Transport,772.5927231856721,2009-09-01,88.48768796285144,All Rwanda
0,0,08,Communication,238.1321768462081,2009-09-01,110.05755973522002,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-09-01,96.32884105438777,All Rwanda
0,0,10,Education,200.9885867838568,2009-09-01,61.173708129512086,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-09-01,84.51594977387197,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-09-01,86.63902007425925,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-10-01,85.84860369238736,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-10-01,84.00290476068763,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-10-01,88.51454638534615,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-10-01,82.15039344241517,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-10-01,66.86641389252702,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-10-01,87.69173359072475,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-10-01,86.6604445370238,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-10-01,85.91794097158383,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-10-01,83.93770002608214,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-10-01,92.81327746915571,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-10-01,94.99353599148414,All Rwanda
0,0,06,Health,121.09522911844475,2009-10-01,87.8842533850721,All Rwanda
0,0,07,Transport,772.5927231856721,2009-10-01,88.73094287704083,All Rwanda
0,0,08,Communication,238.1321768462081,2009-10-01,109.97266747999828,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2009-10-01,95.53075726914766,All Rwanda
0,0,10,Education,200.9885867838568,2009-10-01,61.174560591297514,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-10-01,84.3016790380216,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-10-01,86.66923848132097,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2009-11-01,88.24277268229272,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2009-11-01,88.56726752233996,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2009-11-01,91.24069183637016,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2009-11-01,82.9802047709916,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2009-11-01,63.0731136224353,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2009-11-01,92.00062209174192,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2009-11-01,86.46361921891413,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2009-11-01,85.15643493985534,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2009-11-01,83.96110866896063,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2009-11-01,90.58817996310142,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2009-11-01,95.35111116562781,All Rwanda
